index,Id,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,Season,Sales,Sales_by_LineItem
14,10262,RATTC,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Summer,584.0,"[163.2, 360.0, 60.8]"
15,10263,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,Summer,1873.8,"[625.5, 100.8, 931.5, 216.0]"
16,10264,FOLKO,6,2012-07-24,2012-08-21,2012-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,Summer,695.62,"[532.0, 163.62]"
17,10265,BLONP,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,Summer,1176.0,"[936.0, 240.0]"
18,10266,WARTH,3,2012-07-26,2012-09-06,2012-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,Summer,346.56,[346.56]
19,10267,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,Summer,3536.6,"[735.0, 2618.0, 183.6]"
20,10268,GROSR,8,2012-07-30,2012-08-27,2012-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,Summer,1101.2,"[990.0, 111.2]"
21,10269,WHITC,5,2012-07-31,2012-08-14,2012-08-09,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,Summer,642.2,"[114.0, 528.2]"
22,10270,WARTH,1,2012-08-01,2012-08-29,2012-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,Summer,1376.0,"[456.0, 920.0]"
23,10271,SPLIR,6,2012-08-01,2012-08-29,2012-08-30,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,Summer,48.0,[48.0]
24,10272,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Summer,1456.0,"[388.8, 400.0, 667.2]"
25,10273,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,Summer,2037.28,"[565.44, 142.5, 40.0, 837.9, 451.44]"
26,10274,VINET,6,2012-08-06,2012-09-03,2012-08-16,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,Summer,538.6,"[344.0, 194.6]"
27,10275,MAGAA,1,2012-08-07,2012-09-04,2012-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,Summer,291.84,"[41.04, 250.8]"
28,10276,TORTU,8,2012-08-08,2012-08-22,2012-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,Summer,420.0,"[372.0, 48.0]"
29,10277,MORGK,2,2012-08-09,2012-09-06,2012-08-13,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany,Summer,1200.8,"[728.0, 472.8]"
30,10278,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,Summer,1488.8,"[248.0, 660.0, 280.8, 300.0]"
31,10279,LEHMS,8,2012-08-13,2012-09-10,2012-08-16,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,Summer,351.0,[351.0]
32,10280,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,Summer,613.2,"[43.2, 384.0, 186.0]"
33,10281,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,Summer,86.5,"[7.3, 21.6, 57.6]"
34,10282,ROMEY,4,2012-08-15,2012-09-12,2012-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,Summer,155.4,"[124.2, 31.2]"
35,10283,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,Summer,1414.8,"[248.0, 131.4, 952.0, 83.4]"
36,10284,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,Summer,1170.38,"[394.88, 325.5, 408.0, 42.0]"
37,10285,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,Summer,1743.36,"[518.4, 470.4, 754.56]"
38,10286,QUICK,8,2012-08-21,2012-09-18,2012-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,Summer,3016.0,"[1440.0, 1576.0]"
39,10287,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,Summer,819.0,"[472.6, 224.0, 122.4]"
40,10288,REGGC,4,2012-08-23,2012-09-20,2012-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy,Summer,80.1,"[53.1, 27.0]"
41,10289,BSBEV,7,2012-08-26,2012-09-23,2012-08-28,3,22.77,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK,Summer,479.4,"[240.0, 239.4]"
42,10290,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,Summer,2169.0,"[340.0, 1485.0, 240.0, 104.0]"
43,10291,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,Summer,497.52,"[86.4, 334.8, 76.32]"
44,10292,TRADH,1,2012-08-28,2012-09-25,2012-09-02,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil,Summer,1296.0,[1296.0]
45,10293,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,Summer,848.7,"[600.0, 36.0, 175.5, 37.2]"
46,10294,RATTC,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Summer,1887.6,"[259.2, 468.0, 552.0, 571.2, 37.2]"
47,10295,VINET,2,2012-09-02,2012-09-30,2012-09-10,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,Summer,121.6,[121.6]
48,10296,LILAS,6,2012-09-03,2012-10-01,2012-09-11,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,Summer,1050.6,"[201.6, 417.0, 432.0]"
49,10297,BLONP,5,2012-09-04,2012-10-16,2012-09-10,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,Summer,1420.0,"[864.0, 556.0]"
50,10298,HUNGO,6,2012-09-05,2012-10-03,2012-09-11,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,Summer,2645.0,"[608.0, 456.0, 990.0, 591.0]"
51,10299,RICAR,4,2012-09-06,2012-10-04,2012-09-13,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,Summer,349.5,"[109.5, 240.0]"
52,10300,MAGAA,2,2012-09-09,2012-10-07,2012-09-18,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,Summer,608.0,"[408.0, 200.0]"
53,10301,WANDK,8,2012-09-09,2012-10-07,2012-09-17,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,Summer,755.0,"[147.0, 608.0]"
54,10302,SUPRD,4,2012-09-10,2012-10-08,2012-10-09,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,Summer,2708.8,"[1248.0, 1019.2, 441.6]"
55,10303,GODOS,7,2012-09-11,2012-10-09,2012-09-18,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain,Summer,1117.8,"[529.2, 453.6, 135.0]"
56,10304,TORTU,1,2012-09-12,2012-10-10,2012-09-17,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,Summer,954.4,"[480.0, 440.0, 34.4]"
57,10305,OLDWO,8,2012-09-13,2012-10-11,2012-10-09,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA,Summer,3741.3,"[1125.0, 2227.5, 388.8]"
58,10306,ROMEY,1,2012-09-16,2012-10-14,2012-09-23,3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,Summer,498.5,"[207.0, 262.0, 29.5]"
59,10307,LONEP,2,2012-09-17,2012-10-15,2012-09-25,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA,Summer,424.0,"[394.0, 30.0]"
60,10308,ANATR,7,2012-09-18,2012-10-16,2012-09-24,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico,Summer,88.8,"[28.8, 60.0]"
61,10309,HUNGO,3,2012-09-19,2012-10-17,2012-10-23,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,Summer,1762.0,"[352.0, 600.0, 22.4, 736.0, 51.6]"
62,10310,THEBI,8,2012-09-20,2012-10-18,2012-09-27,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,North America,97201,USA,Summer,336.0,"[139.0, 197.0]"
63,10311,DUMO,1,2012-09-20,2012-10-04,2012-09-26,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,Western Europe,44000,France,Summer,268.8,"[67.2, 201.6]"
64,10312,WANDK,2,2012-09-23,2012-10-21,2012-10-03,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,Fall,1614.8,"[145.6, 883.2, 524.0, 62.0]"
65,10313,QUICK,2,2012-09-24,2012-10-22,2012-10-04,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,Fall,182.4,[182.4]
66,10314,RATTC,1,2012-09-25,2012-10-23,2012-10-04,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Fall,2094.3,"[921.6, 286.2, 886.5]"
67,10315,ISLAT,4,2012-09-26,2012-10-24,2012-10-03,2,41.76,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,Fall,516.8,"[156.8, 360.0]"
68,10316,RATTC,1,2012-09-27,2012-10-25,2012-10-08,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Fall,2835.0,"[77.0, 2758.0]"
69,10317,LONEP,6,2012-09-30,2012-10-28,2012-10-10,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA,Fall,288.0,[288.0]
70,10318,ISLAT,8,2012-10-01,2012-10-29,2012-10-04,2,4.73,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,Fall,240.4,"[154.0, 86.4]"
71,10319,TORTU,7,2012-10-02,2012-10-30,2012-10-11,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,Fall,1191.2,"[249.6, 509.6, 432.0]"
72,10320,WARTH,5,2012-10-03,2012-10-17,2012-10-18,3,34.57,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,Fall,516.0,[516.0]
73,10321,ISLAT,3,2012-10-03,2012-10-31,2012-10-11,2,3.43,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,Fall,144.0,[144.0]
74,10322,PERIC,7,2012-10-04,2012-11-01,2012-10-23,3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,Fall,112.0,[112.0]
75,10323,KOENE,4,2012-10-07,2012-11-04,2012-10-14,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,Fall,164.4,"[62.0, 44.8, 57.6]"
76,10324,SAVEA,9,2012-10-08,2012-11-05,2012-10-10,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA,Fall,5275.72,"[248.12, 856.8, 288.0, 1496.0, 2386.8]"
77,10325,KOENE,1,2012-10-09,2012-10-23,2012-10-14,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,Fall,1497.0,"[120.0, 57.6, 167.4, 40.0, 1112.0]"
78,10326,BOLID,4,2012-10-10,2012-11-07,2012-10-14,2,77.92,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,Southern Europe,28023,Spain,Fall,982.0,"[422.4, 249.6, 310.0]"
79,10327,FOLKO,2,2012-10-11,2012-11-08,2012-10-14,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,Fall,1810.0,"[304.0, 672.0, 579.6, 254.4]"
80,10328,FURIB,4,2012-10-14,2012-11-11,2012-10-17,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,Fall,1168.0,"[396.0, 672.0, 100.0]"
81,10329,SPLIR,4,2012-10-15,2012-11-26,2012-10-23,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,Fall,4578.43,"[69.35, 157.32, 4005.2, 346.56]"
82,10330,LILAS,3,2012-10-16,2012-11-13,2012-10-28,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,Fall,1649.0,"[1058.25, 590.75]"
83,10331,BONAP,9,2012-10-16,2012-11-27,2012-10-21,1,10.19,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,Fall,88.5,[88.5]
84,10332,MEREP,3,2012-10-17,2012-11-28,2012-10-21,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,Fall,1786.88,"[1600.0, 89.6, 97.28]"
85,10333,WARTH,5,2012-10-18,2012-11-15,2012-10-25,3,0.59,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,Fall,877.2,"[186.0, 72.0, 619.2]"
86,10334,VICTE,8,2012-10-21,2012-11-18,2012-10-28,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,Fall,144.8,"[44.8, 100.0]"
87,10335,HUNGO,7,2012-10-22,2012-11-19,2012-10-24,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,Fall,2036.16,"[85.12, 200.0, 122.88, 1628.16]"
88,10336,PRINI,7,2012-10-23,2012-11-20,2012-10-25,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal,Fall,285.12,[285.12]
89,10337,FRANK,4,2012-10-24,2012-11-21,2012-10-29,3,108.26,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,Fall,2467.0,"[288.0, 597.6, 304.0, 582.4, 695.0]"
90,10338,OLDWO,4,2012-10-25,2012-11-22,2012-10-29,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA,Fall,934.5,"[624.0, 310.5]"
91,10339,MEREP,2,2012-10-28,2012-11-25,2012-11-04,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,Fall,3354.0,"[176.0, 2074.8, 1103.2]"
92,10340,BONAP,1,2012-10-29,2012-11-26,2012-11-08,3,166.31,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,Fall,2436.18,"[950.0, 87.78, 1398.4]"
93,10341,SIMOB,7,2012-10-29,2012-11-26,2012-11-05,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark,Fall,352.6,"[16.0, 336.6]"
94,10342,FRANK,4,2012-10-30,2012-11-13,2012-11-04,2,54.83,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,Fall,1840.64,"[291.84, 448.0, 486.4, 614.4]"
95,10343,LEHMS,4,2012-10-31,2012-11-28,2012-11-06,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,Fall,1584.0,"[1330.0, 38.0, 216.0]"
96,10344,WHITC,4,2012-11-01,2012-11-29,2012-11-05,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,Fall,2296.0,"[616.0, 1680.0]"
97,10345,QUICK,2,2012-11-04,2012-12-02,2012-11-11,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,Fall,2924.8,"[2240.0, 584.0, 100.8]"
98,10346,RATTC,3,2012-11-05,2012-12-17,2012-11-08,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Fall,1618.88,"[1010.88, 608.0]"
99,10347,FAMIA,4,2012-11-06,2012-12-04,2012-11-08,3,3.1,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil,Fall,814.42,"[112.0, 612.0, 58.8, 31.62]"
100,10348,WANDK,4,2012-11-07,2012-12-05,2012-11-15,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,Fall,363.6,"[183.6, 180.0]"
101,10349,SPLIR,7,2012-11-08,2012-12-06,2012-11-15,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,Fall,141.6,[141.6]
102,10350,LAMAI,6,2012-11-11,2012-12-09,2012-12-03,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,Fall,642.06,"[175.5, 466.56]"
103,10351,ERNSH,1,2012-11-11,2012-12-09,2012-11-20,1,162.33,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,Fall,5398.72,"[4005.2, 100.1, 1133.82, 159.6]"
104,10352,FURIB,3,2012-11-12,2012-11-26,2012-11-18,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,Fall,136.3,"[36.0, 100.3]"
105,10353,PICCO,7,2012-11-13,2012-12-11,2012-11-25,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria,Fall,8593.28,"[161.28, 8432.0]"
106,10354,PERIC,8,2012-11-14,2012-12-12,2012-11-20,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,Fall,568.8,"[172.8, 396.0]"
107,10355,AROUT,6,2012-11-15,2012-12-13,2012-11-20,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK,Fall,480.0,"[90.0, 390.0]"
108,10356,WANDK,6,2012-11-18,2012-12-16,2012-11-27,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,Fall,1106.4,"[300.0, 230.4, 576.0]"
109,10357,LILAS,1,2012-11-19,2012-12-17,2012-12-02,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,Fall,1167.68,"[595.2, 398.4, 174.08]"
110,10358,LAMAI,5,2012-11-20,2012-12-18,2012-11-27,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,Fall,429.4,"[34.2, 106.4, 288.8]"
111,10359,SEVES,5,2012-11-21,2012-12-19,2012-11-26,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,Fall,3471.68,"[739.48, 665.0, 2067.2]"
112,10360,BLONP,4,2012-11-22,2012-12-20,2012-12-02,3,131.7,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,Fall,7390.2,"[1092.0, 3465.0, 2108.0, 560.0, 165.2]"
113,10361,QUICK,1,2012-11-22,2012-12-20,2012-12-03,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,Fall,2046.24,"[699.84, 1346.4]"
114,10362,BONAP,3,2012-11-25,2012-12-23,2012-11-28,1,96.04,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,Fall,1549.6,"[560.0, 848.0, 141.6]"
115,10363,DRACD,4,2012-11-26,2012-12-24,2012-12-04,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany,Fall,447.2,"[200.0, 74.4, 172.8]"
116,10364,EASTC,1,2012-11-26,2013-01-07,2012-12-04,1,71.97,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK,Fall,950.0,"[864.0, 86.0]"
117,10365,ANTO,3,2012-11-27,2012-12-25,2012-12-02,2,22.0,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,05023,Mexico,Fall,403.2,[403.2]
118,10366,GALED,8,2012-11-28,2013-01-09,2012-12-30,2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain,Fall,136.0,"[84.0, 52.0]"
119,10367,VAFFE,7,2012-11-28,2012-12-26,2012-12-02,3,13.55,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark,Fall,834.2,"[403.2, 106.2, 252.0, 72.8]"
120,10368,ERNSH,2,2012-11-29,2012-12-27,2012-12-02,2,101.95,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,Fall,1689.78,"[36.0, 425.88, 390.0, 837.9]"
121,10369,SPLIR,8,2012-12-02,2012-12-30,2012-12-09,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,Fall,2390.4,"[1980.0, 410.4]"
122,10370,CHOPS,6,2012-12-03,2012-12-31,2012-12-27,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,Fall,1117.6,"[183.6, 798.0, 136.0]"
123,10371,LAMAI,1,2012-12-03,2012-12-31,2012-12-24,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,Fall,72.96,[72.96]
124,10372,QUEE,5,2012-12-04,2013-01-01,2012-12-09,2,890.78,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil,Fall,9210.9,"[583.2, 6324.0, 1428.0, 875.7]"
125,10373,HUNGO,4,2012-12-05,2013-01-02,2012-12-11,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,Fall,1366.4,"[678.4, 688.0]"
126,10374,WOLZA,1,2012-12-05,2013-01-02,2012-12-09,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland,Fall,459.0,"[300.0, 159.0]"
127,10375,HUNGC,3,2012-12-06,2013-01-03,2012-12-09,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA,Fall,338.0,"[279.0, 59.0]"
128,10376,MEREP,1,2012-12-09,2013-01-06,2012-12-13,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,Fall,399.0,[399.0]
129,10377,SEVES,1,2012-12-09,2013-01-06,2012-12-13,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,Fall,863.6,"[618.8, 244.8]"
130,10378,FOLKO,5,2012-12-10,2013-01-07,2012-12-19,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,Fall,103.2,[103.2]
